AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 150.00 (AAPL1826A150-4),0.0,0.0,20.60,21.90,0,110,18 Jan 150.00 (AAPL1826M150-4),0.02,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-8),21.21,-3.02,20.60,21.90,27,110,18 Jan 150.00 (AAPL1826M150-8),0.01,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-A),25.31,0.0,19.25,21.90,0,110,18 Jan 150.00 (AAPL1826M150-A),0.02,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-B),0.0,0.0,19.00,23.75,0,110,18 Jan 150.00 (AAPL1826M150-B),0.04,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-E),20.84,-2.59,20.60,21.90,1,110,18 Jan 150.00 (AAPL1826M150-E),0.01,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-I),29.40,0.0,19.25,23.15,0,110,18 Jan 150.00 (AAPL1826M150-I),0.04,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-J),0.0,0.0,19.25,21.90,0,110,18 Jan 150.00 (AAPL1826M150-J),0.0,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-K),0.0,0.0,20.60,21.90,0,110,18 Jan 150.00 (AAPL1826M150-K),0.0,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-O),28.35,0.0,19.00,23.45,0,110,18 Jan 150.00 (AAPL1826M150-O),0.02,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-OG),0.0,0.0,18.75,23.75,0,110,18 Jan 150.00 (AAPL1826M150-OG),0.01,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-P),0.0,0.0,20.60,21.90,0,110,18 Jan 150.00 (AAPL1826M150-P),0.04,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-S),21.10,-6.90,20.60,21.90,3,110,18 Jan 150.00 (AAPL1826M150-S),0.36,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-X),24.14,0.0,20.60,21.90,0,110,18 Jan 150.00 (AAPL1826M150-X),0.01,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-Y),25.13,0.0,20.35,22.40,0,110,18 Jan 150.00 (AAPL1826M150-Y),0.05,0.0,0.0,0.13,0,809,
18 Jan 152.50 (AAPL1826A152.5),22.48,0.0,17.70,20.00,0,77,18 Jan 152.50 (AAPL1826M152.5),0.01,0.0,0.0,0.12,1,865,
18 Jan 152.50 (AAPL1826A152.5-3),0.0,0.0,16.75,21.00,0,77,18 Jan 152.50 (AAPL1826M152.5-3),0.09,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-4),0.0,0.0,17.70,20.00,0,77,18 Jan 152.50 (AAPL1826M152.5-4),0.05,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-8),24.84,0.0,16.50,21.10,0,77,18 Jan 152.50 (AAPL1826M152.5-8),0.04,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-A),24.88,0.0,16.80,20.90,0,77,18 Jan 152.50 (AAPL1826M152.5-A),0.05,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-B),0.0,0.0,16.50,21.10,0,77,18 Jan 152.50 (AAPL1826M152.5-B),0.30,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-E),22.48,0.0,17.70,20.00,0,77,18 Jan 152.50 (AAPL1826M152.5-E),0.01,0.0,0.0,0.12,1,865,
18 Jan 152.50 (AAPL1826A152.5-I),20.20,0.0,16.75,21.00,0,77,18 Jan 152.50 (AAPL1826M152.5-I),0.01,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-J),0.0,0.0,16.75,21.05,0,77,18 Jan 152.50 (AAPL1826M152.5-J),0.0,0.0,0.0,0.12,0,865,
18 Jan 152.50 (AAPL1826A152.5-K),0.0,0.0,16.75,21.05,0,77,18 Jan 152.50 (AAPL1826M152.5-K),0.0,0.0,0.0,0.12,0,865,
